row_id,waktu,tweet_id,username,tweet,web,lokasi
57,2/11/2021 11:15,1.37E+18,SurveiQ,"Tanpa Kompensasi Dan Solusi, Pelaku Usaha Di Jateng Tolak Perpanjangan  ",,
58,2/11/2021 0:59,1.37E+18,CNBC,PHRI Demak Tolak Perpanjangan  ,,
59,2/11/2021 12:21,1.37E+18,biosaya,"Menurut saya semua benar. Pak petugas benar, karena menjalankan tugas. Pengusaha juga benar, karena dia butuh uang untuk gaji karyawan",,
60,2/11/2021 16:44,1.37E+18,jintung ayah,"Apapun keputusan pemerintah entah dilockdown sebulan atau 2 bulan rakyat gk khawatir kalau tagihan listrik,air, cicilan sepeda motor, belanja harian ditanggung pemerintah",,
61,2/11/2021 18:27,1.37E+18,voaindonesia,"terserah udah gk punya uang buat ke mall juga,,, muak",,
62,2/11/2021 19:58,1.37E+18,voaindonesia,Diperpanjang boleh tapi Kasikan masyarakat yg kurang mampu bantuan pangan,,
63,2/8/2021 15:37,1.37E+18,voaindonesia,Kalau Rakyat Malam Kelaparan mau cari makan Kemana lagi?,,
64,3/24/2021 2:09,1.37E+18,Kadin    dari   ,"Sejumlah destinasi pariwisata di Jakarta, seperti Ragunan dan museum mulai dibuka pada perpanjangan   skala  . Namun jumlah pengunjung dibatas 50%.",,
65,4/6/2021 4:41,1.37E+18,Hasiid.jd,Lanjutkan pak sampai rakyatmu mati kelaparan,,
66,5/1/2021 9:12,1.37E+18,lukman pasha,benar banget tuh.… pemerintah jadikan covid ladang usaha.... yng bikin rakyat kecil mati kelaparan,,
67,5/6/2021 9:12,1.37E+18,hiyaa,Coba aja liat sepanjang jalan    dari    mampang ke arah pasr minggu .. Trotoar yg di bangun pake uang pajak rakyat yg jumlahnya milyaran .. Hanya jd tmp yg nyaman ..buat .tukang nasi goreng . pecel lele dan parkir liar,,
68,5/5/2021 6:41,1.37E+18,bodong,Jam Tutup Usaha Dilonggarkan Jadi Pukul 22.00 Wita ,,
69,5/4/2021 2:38,1.37E+18,sektorekonomiA,Begini Pesta Ultah Pedangdut Lara Silvi yang Digelar tanpa Pakai Masker dan Berkerumun,,
70,5/4/2021 19:45,1.37E+18,5MedRev,"Rembang, Pemerintah   Rembang memberikan izin kepada pelaku pariwisata untuk beroperasi selama empat hari dalam satu minggu di masa pemberlakuan pembatasankegiatan masyarakat ( ) skala  .",,
71,5/4/2021 19:45,1.37E+18,Safira Ginanisa,"""Obat nganggur adalah berkumpul dan mengobrol, setelah    dari    itu......nganggur ",,
72,5/4/2021 20:10,1.37E+18,Ryan Virgiawan,"Dua kafe di Dago, Kota Bandung disegel tim gugus tugas covid-19 karena melanggar dengan melebihi batas waktu operasional di saat pemberlakuan PSBB untuk memutus mata rantai penularan covid-19.",,
73,5/4/2021 20:15,1.37E+18,Afif Ardiansyah,"Gajian tetep penuh, ga kepotong gara-gara omset sepi mergo     kontolamoh",,
74,3/10/2021 18:35,1.37E+18,news radio,Ini gara gara   tutup jam 7 dibekasi jdi ngamuk? Hahaha,,
75,3/10/2021 13:09,1.37E+18,haiLati,Jam Buka Toko Masih Tumpang Tindih,,
76,3/10/2021 20:21,1.37E+18,Imam Bachtiar,"Kafe dan Restoran di Kota Bandung Langgar PSBB, Siap-siap Disegel ",,
77,3/10/2021 21:00,1.37E+18,Adhi,"Kafe RM Langgar PSBB, Bambang Ismadi Sebut Ketiga Kalinya ",,
78,2/24/2021 1:19,1.37E+18,liputan8,Kasian rakyat jelata mau minta kemana kalau gk keluar rumah enak yang jadi pegawai negeri tinggal duduk sambil nonton hp atau laptop uda dapat gaji bos,,
79,2/18/2021 23:30,1.37E+18,damianHar,"Kebijakan jangan hanya berdasarkan satu sisi aspek. Pertimbanga pula sisi aspek sosial   kemasyarakatan,Sosial kultural budaya serta spiritual. Tolak PSBB!! TOLAK  !! TOLAK     !!!",,
80,2/11/2021 11:15,1.37E+18,agung mirzax,"Penghasilan Anjlok, PKL Tolak Perpanjangan  ",,
81,2/11/2021 0:59,1.37E+18,dwdw,Peraturan lawak...pusat perbelanjaan dan mall diperpanjang jam operasionalnya sampek jam 9 malam...tapi akses masuk kampung Rt/Rw dibatasi sampek jam 8 malam...kan gak sinkron...semakin kelihatan bingung pemerintah mengahadapi masalah corona ini...😂😂😂,,
82,2/11/2021 12:21,1.37E+18,adriansyah,PKL Hingga Pedagang Kecil di Malioboro Kompak Tolak   Diperpanjang,,
83,2/11/2021 18:27,1.37E+18,Ammari,"Semenjak awal   berjalan, benar2 luar biasa roda   indonesia kita ini.. benar2 DROP parah.. pdhl tahun 2021 waktuny untuk bangkit, tp karena pemerintah sdh bingung mau bagaimana jd dibuat   turun lagi.. ni malah diperpanjang lg.. eh pemerintah, kalau mau memperpanjang mikir 2x doank..   biarkan berjalan bersandingan dgn covid.. memang kalian yg bayar hidup kami sehari2nya ? Pdhl kalian2 semua makan dan hidup dr pajak yg kami bayarkan selama ini..",,
84,2/11/2021 19:58,1.37E+18,SurveiQ,Wadu mas pak bu yang uda kaya contonya pegawai negeri dan pejabat pemerinta dan pengusaha di tolonglah rakyat yang hidup di garis kemiskinnan,,
85,2/8/2021 15:37,1.37E+18,CNBC,Wong urip koq dipersulit..rakyat butuh   lancar insya Alloh sehat srmuanya..,,
86,3/24/2021 2:09,1.37E+18,biosaya,"Yang punya warung makan ngomong ke Pol PePe: ""Kalian enak dapat gaji, kami dapat apa? "" Tolak   dan PSBB, orang yang nurut    dari    PSBB awal sudah lelah.",,
87,5/6/2021 0:56,1.37E+18,jintung ayah,Jam Operasional Usaha Perdagangan Diperpanjang ,,
88,4/6/2021 4:41,1.37E+18,voaindonesia,"Menko Per an, Ketua KPC-PEN Airlangga Hartarto resmi memperpanjang   berskala  . Perpanjangan     diberlakukan karena secara nasional jumlah kasus aktif mengalami penurunan yang signifikan yaitu 17,27% dalam sepekan ini.",,
89,5/1/2021 9:12,1.37E+18,voaindonesia,Pemberlakuan   membuat sektor pariwisata di Ponorogo sepi lur..,,
90,5/6/2021 9:12,1.37E+18,voaindonesia,"Staf ahli bidang   dan pembangunan kab Banyumas Drs. Imam Pamungkas,MM. melaksanakan pembinaan dan monitoring evaluasi pelaksanaan     Desa Karangkemiri kecamatan Karanglewas",,
91,5/5/2021 6:41,1.37E+18,Kadin    dari   ,biar   krisis terus ajah perpanjang,,
92,5/4/2021 2:22,1.37E+18,Hasiid.jd,"kalian apa gk ngerti kondisi saya, Usaha sya warung warkop, saya pun gk dapat bantuan umkm, Trus di batasi waktu berdagang, trus kelurga saya tak kasih makan apa ? Andaa yg bisa kasih solusi sayaa ? Dalam kondisi seperti iniLebih sedikit",,
93,5/4/2021 2:38,1.37E+18,lukman pasha,Kami rakyat yang hidup dibawah garis kemiskinnan tolong para pegawai negeri di potong gajinya untuk rakyat yang hidup dibawah garis kemiskinan tolong bos jangan kalau ada perlunya waktu pilkada pileg minta minta tolong sama rakyatnya,,
94,5/4/2021 19:45,1.37E+18,hiyaa,"Kebijakan pemerintah yg membuat rakyat swasta hancur,",,
95,5/4/2021 19:45,1.37E+18,bodong,"Klo ada lowongan kerja kabarin saya ya, gaji asal cukup buat makan sekeluarga aja🙏",,
96,5/4/2021 20:10,1.37E+18,sektorekonomiA,"Mall buka sampe jam 9 tapi perumahan RT RW nutup akses jam 8 lah gimana orang yg kerja rumahnya masuk gang, secara ga langsung orang kaya yg tinggal di rumah dan apartemen mewah punya range ""nite life"" lebih lama😂",,
97,5/4/2021 20:15,1.37E+18,5MedRev,Mboten ngaruh pak kebijakannya. Yg ada bener2 menindas pedagang kecil krna masyarakat daya belinya benar2 turun mulai Februari kemarin,,
98,3/10/2021 18:35,1.37E+18,Safira Ginanisa,"Nganggur saya diperpanjang, tabungan udah mulai habis karena buat makan dan kebutuhan rumah,   atau apalah namanya itu bikin kita ga bisa kerja, kita pengamen kafe, kerja malam, tolonglah pikirin kita juga, apa mesti nunggu kita mati kelaparan dulu baru sudah ini peraturan-peraturan?BALAS",,
99,3/10/2021 13:09,1.37E+18,Ryan Virgiawan,Pembatasan keluar masuk wilayah RT jam 8 malam. Mall tutup jam 9 malam. Nah pegawainya ga bisa masuk rumahnya sendiri dong ,,
100,3/10/2021 16:13,1.37E+18,Afif Ardiansyah,Pemberlakuan   membuat sektor pariwisata di Ponorogo sepi lur..,,
101,3/10/2021 20:21,1.37E+18,news radio,"Penyayi , pegiat seni apalagi hajatan yang sudah menjatuhkan hari karena resepsi itu penting resepsi itu tradisi kami menya   dari    itu yang penting    dari    protokol kesehatan harus diatur",,
102,3/10/2021 21:00,1.37E+18,haiLati,"Rakyat butuh makan,rakyat tdk butuh politik yg menyengsarakan rakyat kecil",,
103,2/24/2021 1:19,1.37E+18,Imam Bachtiar,"Sejumlah destinasi pariwisata di Jakarta, seperti Ragunan dan museum mulai dibuka pada perpanjangan   skala  . Namun jumlah pengunjung dibatas 50%.",,
104,2/11/2021 11:15,1.37E+18,Adhi,"Staf ahli bidang   dan pembangunan kab Banyumas Drs. Imam Pamungkas,MM. melaksanakan pembinaan dan monitoring evaluasi pelaksanaan     Desa Pasir Wetan kecamatanKaranglewas, ",,
105,2/11/2021 0:59,1.37E+18,liputan9,"Tak mati karna corona n gk makan,bisa2 bunuh diri karna depresi banyak hutang",,
106,2/11/2021 12:21,1.37E+18,damianHar,TIAP ORANG DIKASIH 50 RIBU PERHARI PASTI SEMUANYA NURUT DIAM DIRI DI RUMAH KARENA PERUT SUDAH KENYANG DAN BISA MAKAN DAN PASTI EFEKTIFBALAS,,
107,2/11/2021 16:44,1.37E+18,agung mirzax,Top News Koran Rakyat Merdeka      Terkendala Dana Desa Catat Ya... Anggaran Posko Covid Desa Minimal 8 Persen  ,,
108,2/11/2021 18:27,1.37E+18,dwdw,Yg di atas pergaulannya sam yg di atas juga yg elit2.. Hee gk pernah mau bergaul sm masyarkat bawah yg miskin2 yg susah2.. Jadi gk tau kehidupan kita yg di bawah makanya bikin peraturan hasil rembukan mereka2 yg ttp enak nerima gaji n bonusss2.. Hee,,
109,2/11/2021 19:58,1.37E+18,adriansyah,Yg kerja sampe lbh jam 8 trs gimn..,,
110,3/23/2021 8:31,1.37E+18,madIbuntoday,"faktor   ,  Sosial,  dan budaya oleh Jalan Lagi, berikut  jumlah  Perbedaan     pemberlakuan  pembatasan Kegiatan Masyarakat ( ) berbasis   memang kembali diperpanjang.  Kendati begitu,  aturan  pembatasan  makin dilonggarkan",https: / / t. co/ 2EwG9tLLeP,
